
Organisation for Economic Co-operation and Development 

OECD Existing Chemicals Database
	
Click on an item ...

    Home
    Search
    SIDS contacts
    Sponsored chemicals
    Category chemicals
    Help

 
Reports

    Overall Status
    All Sponsored Substances
    Publications

 

	
List of all chemicals

CAS number	Chemical Name	Synonyms
88-66-4	Benzene, 1-chloro-2-(dichloromethyl)	 
88-69-7	Phenol, 2-(1-methylethyl)-	Phenol, 2-(1-methylethyl)-
88-72-2	Toluene, 2-nitro-	Benzene, 1-methyl-2-nitro-
88-73-3	Benzene, 1-chloro-2-nitro-	1-Chloro-2-nitrobenzene
88-74-4	Aniline, 2-nitro-	Aniline, o-nitro-
88-75-5	Phenol, 2-nitro-	Phenol, o-nitro-
88-85-7	Phenol, 2-sec-butyl-4,6-dinitro-	Phenol, 2-(1-methylpropyl)-4,6-dinitro-
88-89-1	Phenol, 2,4,6-trinitro-	2,4,6-Trinitrophenol and salts
89-00-9	2,3-Pyridinedicarboxylic acid	 
89-04-3	1,2,4-Benzenetricarboxylic acid, trioctyl ester	Trioctyl-1,2,4-benzenetricarboxylate
89-05-4	benzene-1,2,4,5-tetracarboxylic acid	 
89-08-7	4-Sulfophthalic acid	 
89-25-8	5-Pyrazolone, 3-methyl-1-phenyl-	3-Methyl-1-phenyl-5-pyrazolone
89-32-7	Pyromellitic 1,2:4,5-dianhydride	1H,3H-Benzo[1,2-c:4,5-c']difuran-1,3,5,7-tetrone
89-61-2	Benzene, 1,4-dichloro-2-nitro-	1,4-Dichloro-2-nitrobenzene
89-63-4	Aniline, 4-chloro-2-nitro-	 
89-69-0	1,2,4-trichloro-5-nitrobenzene	 
89-72-5	Phenol, 2-sec-butyl-	Phenol, 2-(1-methylpropyl)-
89-78-1	D/L-Menthol	 
89-83-8	Thymol	 
89-87-2	m-Xylene, 4-nitro-	Benzene, 2,4-dimethyl-1-nitro-
89-98-5	Benzaldehyde, 2-chloro-	2-Chlorobenzaldehyde
90-00-6	Phenol, 2-ethyl-	 
90-02-8	Benzaldehyde, 2-hydroxy-	o-Hydroxybenzaldehyde
90-04-0	Aniline, 2-methoxy-	o-Anisidine
90-05-1	Phenol, 2-methoxy-	Guaiacol
90-12-0	Naphthalene, 1-methyl-	 
90-15-3	1-Naphthol	1-Naphthalenol
90-30-2	1-Naphthylamine, N-phenyl-	 
90-41-5	o-Aminobiphenyl	 
90-43-7	Phenol, 2-phenyl-	Biphenyl-2-ol
90-72-2	Phenol, 2,4,6-tris[(dimethylamino)methyl]-	2,4,6-tris(dimethylaminomethyl)phenol
90-80-2	D-Glucono-1,5-lactone	Glucono-delta-lactone
91-08-7	Benzene, 1,3-diisocyanato-2-methyl-	 
91-15-6	Phthalonitrile	1,2-Benzenedicarbonitrile
91-16-7	Benzene, 1,2-dimethoxy-	 
91-20-3	Naphthalene	 
91-22-5	Quinoline	 
91-23-6	Benzene, 1-methoxy-2-nitro-	2-Nitroanisole
91-57-6	Naphthalene, 2-methyl-	 
91-64-5	2H-1-Benzopyran-2-one	Coumarin
91-66-7	Aniline, N,N-diethyl-	N,N-Diethylaniline
91-68-9	Phenol, 3-(diethylamino)-	3-Diethylaminophenol
91-76-9	1,3,5-Triazine-2,4-diamine, 6-phenyl-	s-Triazine, 2,4-diamino-6-phenyl-
91-94-1	3,3'-Dichlorobenzidine	Biphenyl, 4,4'-diamino-3,3'-dichloro
91-96-3	Azoic CC5	 
92-15-9	Butanamide, N-(2-methoxyphenyl)-3-oxo-	o-Acetoacetanisidide
92-52-4	1,1'-Biphenyl	Biphenyl
92-70-6	2-Hydroxy-3-napthoic acid	2-Naphthalenecarboxylic acid, 3-hydroxy-
92-77-3	Azoic CC2	 
92-78-4	N-(4-Chlorophenyl)-3-hydroxy-2-naphthalenecarboxamide 	 
92-84-2	10H-Phenothiazine	Phenothiazine
92-88-6	4,4'-Biphenyldiol	[1,1'-Biphenyl]-4,4'-diol
93-58-3	Methyl benzoate	Benzoic acid, methyl ester
93-65-2	Propionic acid, 2-(4-chloro-o-tolyl)oxo-	 
93-68-5	Butanamide, N-(2-methylphenyl)-3-oxo-	o-Acetoacetotoluidide
93-83-4	Oleamide, N,N-bis(2-hydroxyethyl)-	9-Octadecenenamide, N,N-bis(2-hydroxyethyl)-, (Z)-
93-84-5	2H-Benzimidazol-2-one, 1,3-dihydro-5-nitro-	 
94-28-0	Hexanoic acid, 2-ethyl-, diester with TEG	Hexanoic acid, 2-ethyl-, 1,2-ethanediylbis(oxy-2,1-ethanediyl) ester
94-36-0	Benzoyl peroxide	Peroxide, dibenzoyl
94-60-0	Dimethyl cyclohexane-1,4-dicarboxylate	1,4-Cyclohexanedicarboxylic acid, dimethyl ester
94-68-8	Aniline, N-ethyl-2-methyl-	 
94-71-3	Phenol, 2-ethoxy-	 
94-74-6	Acetic acid, ((4-chloro-o-tolyl)oxy)-	Acetic acid, (4-chloro-2-methylphenoxy)-
94-75-7	Acetic acid, (2,4-dichlorophenoxy)-	 
94-96-2	1,3-Hexanediol, 2-ethyl-	 
95-13-6	Indene	 
95-14-7	1H-Benzotriazole	 
95-16-9	Benzothiazole	 
95-31-8	2-Benzothiazolesulfeamide, N-(1,1-dimethylethyl)-	N-tert-Butyl-2-benzothiazolesulfenamide
95-32-9	4-[(2-Benzothiazolyl)thio]morpholine	 
95-33-0	2-Benzothiazolesulfenamide, N-cyclohexyl-	N-Cyclohexyl-2-benzothiazolesulfenamide
95-47-6	o-Xylene	Benzene, 1,2-dimethyl-
95-48-7	o-Cresol	Phenol, 2-methyl-
95-49-8	Toluene, 2-chloro-	2-Chlorotoluene
95-50-1	Benzene, 1,2-dichloro-	Benzene, o-dichloro-
95-51-2	Aniline, 2-chloro-	o-Chloroaniline
95-53-4	Aniline, 2-methyl-	o-Toluidine
95-54-5	1,2-Benzenediamine	o-Phenylenediamine
95-55-6	Phenol, 2-amino-	o-Aminophenol
95-57-8	Phenol, 2-chloro-	o-Chlorophenol
95-63-6	Benzene, 1,2,4-trimethyl-	1,2,4-Trimethylbenzene
95-64-7	3,4-Dimethylaniline	 
95-65-8	Phenol, 3,4-dimethyl-	3,4-Xylenol
95-68-1	2,4-Xylidine	 
95-73-8	Toluene, 2,4-dichloro-	2,4-Dichlorotoluene
95-74-9	Aniline, 3-chloro-4-methyl-	3-Chloro-p-toluidine
95-76-1	Aniline, 3,4-dichloro-	3,4-Dichloroaniline
95-78-3	2,5-Dimethylaniline	 
95-80-7	Toluene, 2,4-diamine	1,3-Benzenediamine, 4-methyl-
95-87-4	Phenol, 2,5-dimethyl-	2,5-Xylenol
95-92-1	Ethanedioic acid, 1,2-diethyl ester	 
95-93-2	Benzene, 1,2,4,5-tetramethyl-	Benzene, 1,2,4,5-tetramethyl
95-96-5	1,4-Dioxane-2,5-dione, 3,6-dimethyl-	 
96-05-9	2-Propenoic acid, 2-methyl-, 2-propenyl ester	 
96-10-6	Aluminium, chlorodiethyl-	Diethylaluminium chloride
96-14-0	3-Methylpentane	 
96-18-4	Propane, 1,2,3-trichloro-	1,2,3-Trichloropropane
