CAS #	Substance Name	Retired CAS #s	Incorrect CAS #s
53980-88-4	2-Cyclohexene-1-octanoic acid, 5(or 6)-carboxy-4-hexyl-	138398-37-5	
67989-24-6	9-Octadecenoic acid (9Z)-, ester with 2,2-dimethyl-1,3-propanediol		
67989-23-5	1,2,4-Benzenetricarboxylic acid, decyl octyl ester		
26264-05-1	Benzenesulfonic acid, dodecyl-, compd. with 2-propanamine (1:1)	118998-53-1, 12634-03-6, 1331-58-4, 1331-59-5, 133176-50-8, 188204-09-3, 223777-05-7, 37345-33-8, 8035-88-9, 80893-65-8, 87608-98-8	
68955-96-4	Disulfides, dialkyl and di-Ph, naphtha sweetening		
26264-06-2	Benzenesulfonic acid, dodecyl-, calcium salt (2:1)	105864-16-2, 12068-14-3, 1219441-08-3, 2649458-08-0, 27176-87-0, 29062-23-5, 372965-63-4, 41934-13-8, 705264-21-7	
2494-89-5	Ethanol, 2-[(4-aminophenyl)sulfonyl]-, 1-(hydrogen sulfate)		
689-11-2	Urea, N-(1-methylpropyl)-	116668-60-1	
68516-18-7	Decene, hydroformylation products		
97-30-3	.alpha.-D-Glucopyranoside, methyl	1195722-83-8, 1321-19-3, 15941-70-5, 25281-47-4, 25360-06-9, 6817-79-4	
688-84-6	2-Propenoic acid, 2-methyl-, 2-ethylhexyl ester	100242-87-3, 118955-12-7, 153286-32-9, 64125-64-0, 75577-75-2, 94290-92-3	
114959-46-5	Benzoic acid, 2-hydroxy-, mono-C14-18-alkyl derivs., calcium salts (2:1)		
68955-98-6	Fatty acids, C16-18 and C18-unsatd., branched and linear		
2495-25-2	2-Propenoic acid, 2-methyl-, tridecyl ester		
115-27-5	4,7-Methanoisobenzofuran-1,3-dione, 4,5,6,7,8,8-hexachloro-3a,4,7,7a-tetrahydro-	122485-51-2	
68516-20-1	Naphtha (petroleum), steam-cracked middle arom.		
1717-00-6	Ethane, 1,1-dichloro-1-fluoro-	171-00-6	
2495-27-4	2-Propenoic acid, 2-methyl-, hexadecyl ester		
26266-57-9	Sorbitan, monohexadecanoate	1158979-22-6, 1338-40-5, 52624-48-3, 69073-01-4, 76011-52-4	
97-39-2	Guanidine, N,N'-bis(2-methylphenyl)-	132116-33-7, 46913-50-2, 60297-72-5	
583-78-8	Phenol, 2,5-dichloro-		
26265-08-7	Phenol, 4,4'-(1-methylethylidene)bis[2,6-dibromo-, polymer with 2-(chloromethyl)oxirane and 4,4'-(1-methylethylidene)bis[phenol]	107339-12-8, 119252-36-7, 67989-95-1	
68439-70-3	Amines, C12-16-alkyldimethyl	340960-79-4	
84-61-7	1,2-Benzenedicarboxylic acid, 1,2-dicyclohexyl ester	169741-16-6, 55819-02-8	
5131-66-8	2-Propanol, 1-butoxy-		
68439-73-6	Amines, N-(C14-18 and C16-18-unsatd. alkyl)trimethylenedi-		
26266-58-0	Sorbitan, tri-(9Z)-9-octadecenoate	120913-10-2, 1338-44-9, 1629855-80-6, 1629856-22-9, 171286-91-2, 2379667-95-3, 368449-42-7, 5960-06-5, 61090-27-5, 917485-38-2, 917485-40-6	
115-28-6	Bicyclo[2.2.1]hept-5-ene-2,3-dicarboxylic acid, 1,4,5,6,7,7-hexachloro-	5343-97-5, 7374-78-9, 888949-13-1	
107-02-8	2-Propenal	25314-61-8	
135-19-3	2-Naphthalenol	860440-31-9	
3452-07-1	1-Eicosene		
689-97-4	1-Buten-3-yne		
393-75-9	Benzene, 2-chloro-1,3-dinitro-5-(trifluoromethyl)-		
26266-68-2	Hexenal, 2-ethyl-		
35203-06-6	Benzenamine, 2-ethyl-6-methyl-N-methylene-		
1141-38-4	2,6-Naphthalenedicarboxylic acid		
35203-08-8	Benzenamine, 2,6-diethyl-N-methylene-		
